Date,Open,High,Low,Close,Volume
2011-12-14,2918.25,2918.25,2918.25,2918.25,42055384
2011-12-15,2901.31,2901.31,2901.31,2901.31,31022617
2011-12-16,2840.5,2840.5,2840.5,2840.5,62511104
2011-12-19,2827.36,2827.36,2827.36,2827.36,15838933
2011-12-20,2868.58,2868.58,2868.58,2868.58,16448967
2011-12-21,2894.74,2894.74,2894.74,2894.74,19158405
2011-12-22,2883.97,2883.97,2883.97,2883.97,10151752
2011-12-23,2911.38,2911.38,2911.38,2911.38,7218110
2011-12-27,2917.44,2917.44,2917.44,2917.44,7845209
2011-12-28,2883.46,2883.46,2883.46,2883.46,14939802
2011-12-29,2903.05,2903.05,2903.05,2903.05,12131519
2011-12-30,2878.7,2878.7,2878.7,2878.7,9778178
2012-01-02,2945.32,2945.32,2945.32,2945.32,9743950
2012-01-03,2958.96,2958.96,2958.96,2958.96,35639348
2012-01-04,2931.72,2931.72,2931.72,2931.72,53626894
2012-01-05,2894.08,2894.08,2894.08,2894.08,19517064
2012-01-09,2852.87,2852.87,2852.87,2852.87,22781829
2012-01-10,2868.09,2868.09,2868.09,2868.09,26790974
2012-01-11,2858.62,2858.62,2858.62,2858.62,25183819
2012-01-12,2906.91,2906.91,2906.91,2906.91,25221052
2012-01-13,2906.09,2906.09,2906.09,2906.09,16137326
2012-01-16,2928.29,2928.29,2928.29,2928.29,17438271
2012-01-17,2961.74,2961.74,2961.74,2961.74,38577577
2012-01-18,2988.87,2988.87,2988.87,2988.87,29851535
2012-01-19,3010.72,3010.72,3010.72,3010.72,35769956
2012-01-20,3033.04,3033.04,3033.04,3033.04,41967272
2012-01-23,3039.38,3039.38,3039.38,3039.38,25812477
2012-01-24,3038.08,3038.08,3038.08,3038.08,23685512
2012-01-25,3022.27,3022.27,3022.27,3022.27,29830569
2012-01-26,3092.77,3092.77,3092.77,3092.77,44152683
2012-01-27,3093.88,3093.88,3093.88,3093.88,32741246
2012-01-30,3107.62,3107.62,3107.62,3107.62,15435754
2012-01-31,3128.48,3128.48,3128.48,3128.48,34472945
2012-02-01,3170.65,3170.65,3170.65,3170.65,26780710
2012-02-02,3180.7,3180.7,3180.7,3180.7,22622172
2012-02-03,3185.23,3185.23,3185.23,3185.23,19969189
2012-02-06,3206.42,3206.42,3206.42,3206.42,19570088
2012-02-07,3185.46,3185.46,3185.46,3185.46,35003651
2012-02-08,3188.15,3188.15,3188.15,3188.15,28130735
2012-02-09,3171.57,3171.57,3171.57,3171.57,25001629
2012-02-10,3118.82,3118.82,3118.82,3118.82,22562672
2012-02-13,3142.06,3142.06,3142.06,3142.06,11056385
2012-02-14,3124.66,3124.66,3124.66,3124.66,25767674
2012-02-15,3132.84,3132.84,3132.84,3132.84,26576722
2012-02-16,3111.27,3111.27,3111.27,3111.27,24568121
2012-02-17,3165.67,3165.67,3165.67,3165.67,18284322
2012-02-20,3150.96,3150.96,3150.96,3150.96,18455826
2012-02-21,3155.27,3155.27,3155.27,3155.27,14951997
2012-02-22,3123.37,3123.37,3123.37,3123.37,25845479
2012-02-23,3081.92,3081.92,3081.92,3081.92,35150118
2012-02-24,3101.27,3101.27,3101.27,3101.27,28133552
2012-02-27,3103.14,3103.14,3103.14,3103.14,20459428
2012-02-28,3111.22,3111.22,3111.22,3111.22,16789907
2012-02-29,3108.28,3108.28,3108.28,3108.28,31721713
2012-03-01,3113.36,3113.36,3113.36,3113.36,19161334
2012-03-02,3119.22,3119.22,3119.22,3119.22,18665374
2012-03-05,3064.3,3064.3,3064.3,3064.3,20789704
2012-03-06,3017.67,3017.67,3017.67,3017.67,21109467
2012-03-07,3039.2,3039.2,3039.2,3039.2,24219121
2012-03-08,3080.76,3080.76,3080.76,3080.76,34215042
2012-03-09,3066.58,3066.58,3066.58,3066.58,20312459
2012-03-12,3074.76,3074.76,3074.76,3074.76,15219818
2012-03-13,3083.09,3083.09,3083.09,3083.09,34142627
2012-03-14,3135.58,3135.58,3135.58,3135.58,37235034
2012-03-15,3144.59,3144.59,3144.59,3144.59,24418218
2012-03-16,3136.2,3136.2,3136.2,3136.2,67150985
2012-03-19,3117.93,3117.93,3117.93,3117.93,40942411
2012-03-20,3085.01,3085.01,3085.01,3085.01,48598220
2012-03-21,3083.21,3083.21,3083.21,3083.21,44908875
2012-03-22,3034.16,3034.16,3034.16,3034.16,54277544
2012-03-23,3064.32,3064.32,3064.32,3064.32,58958880
2012-03-26,3092.2,3092.2,3092.2,3092.2,21939756
2012-03-27,3117.03,3117.03,3117.03,3117.03,38752046
2012-03-28,3095.42,3095.42,3095.42,3095.42,30659583
2012-03-29,3046.92,3046.92,3046.92,3046.92,38889483
2012-03-30,3067.26,3067.26,3067.26,3067.26,43011151
2012-04-02,3086.63,3086.63,3086.63,3086.63,43230003
2012-04-03,3083.58,3083.58,3083.58,3083.58,31279919
2012-04-04,3027.72,3027.72,3027.72,3027.72,48860358
2012-04-05,3036.17,3036.17,3036.17,3036.17,36298388
2012-04-10,2991.27,2991.27,2991.27,2991.27,31134282
2012-04-11,3025.83,3025.83,3025.83,3025.83,65451079
2012-04-12,3062,3062,3062,3062,74110501
2012-04-13,3023.5,3023.5,3023.5,3023.5,64585959
2012-04-16,3025.44,3025.44,3025.44,3025.44,53776436
2012-04-17,3052.07,3052.07,3052.07,3052.07,40979658
2012-04-18,3018.71,3018.71,3018.71,3018.71,51489855
2012-04-19,2999.65,2999.65,2999.65,2999.65,41138346
2012-04-20,2985.84,2985.84,2985.84,2985.84,28041418
2012-04-23,2912.23,2912.23,2912.23,2912.23,43812978
2012-04-24,2929.99,2929.99,2929.99,2929.99,39082635
2012-04-25,2937.44,2937.44,2937.44,2937.44,40211977
2012-04-26,2969.35,2969.35,2969.35,2969.35,37362760
2012-04-27,3015.93,3015.93,3015.93,3015.93,31638987
2012-04-30,3010.91,3010.91,3010.91,3010.91,23336151
2012-05-02,2991.28,2991.28,2991.28,2991.28,24623558
2012-05-04,2969.94,2969.94,2969.94,2969.94,43478530
2012-05-07,2979.79,2979.79,2979.79,2979.79,23189796
2012-05-08,2913.86,2913.86,2913.86,2913.86,36214036
2012-05-09,2914.06,2914.06,2914.06,2914.06,25851799
2012-05-10,2939.66,2939.66,2939.66,2939.66,33627725
2012-05-11,2927.88,2927.88,2927.88,2927.88,16942495
2012-05-14,2871.9,2871.9,2871.9,2871.9,19208131
2012-05-15,2840.07,2840.07,2840.07,2840.07,19700410
2012-05-16,2854.38,2854.38,2854.38,2854.38,76187672
2012-05-17,2770.08,2770.08,2770.08,2770.08,44119411
2012-05-18,2775.29,2775.29,2775.29,2775.29,40194290
2012-05-21,2822.9,2822.9,2822.9,2822.9,26918151
2012-05-22,2827.49,2827.49,2827.49,2827.49,26294099
2012-05-23,2744.51,2744.51,2744.51,2744.51,36977929
2012-05-24,2741.38,2741.38,2741.38,2741.38,38549330
2012-05-25,2743.22,2743.22,2743.22,2743.22,23625680
2012-05-28,2768.15,2768.15,2768.15,2768.15,18028626
2012-05-29,2815.35,2815.35,2815.35,2815.35,19134825
2012-05-30,2790.23,2790.23,2790.23,2790.23,25880318
2012-05-31,2823.34,2823.34,2823.34,2823.34,51933737
2012-06-01,2789.92,2789.92,2789.92,2789.92,32118521
2012-06-04,2798.31,2798.31,2798.31,2798.31,16814021
2012-06-05,2747.07,2747.07,2747.07,2747.07,16425853
2012-06-06,2842.94,2842.94,2842.94,2842.94,24890814
2012-06-08,2917,2917,2917,2917,53527536
2012-06-11,2931.68,2931.68,2931.68,2931.68,31794731
2012-06-12,2997.51,2997.51,2997.51,2997.51,50046715
2012-06-13,2991.82,2991.82,2991.82,2991.82,24639180
2012-06-14,2990.12,2990.12,2990.12,2990.12,29733293
2012-06-15,3036.72,3036.72,3036.72,3036.72,112666686
2012-06-18,3029.9,3029.9,3029.9,3029.9,35324781
2012-06-19,3106.33,3106.33,3106.33,3106.33,46163096
2012-06-20,3092.42,3092.42,3092.42,3092.42,30409000
2012-06-21,3071.65,3071.65,3071.65,3071.65,38392266
2012-06-22,3066.95,3066.95,3066.95,3066.95,28541191
2012-06-25,3020.73,3020.73,3020.73,3020.73,19050536
2012-06-26,3080.75,3080.75,3080.75,3080.75,31438346
2012-06-27,3113.51,3113.51,3113.51,3113.51,26865567
2012-06-28,3068.14,3068.14,3068.14,3068.14,23835281
2012-06-29,3119.03,3119.03,3119.03,3119.03,32967552
2012-07-02,3091,3091,3091,3091,13455669
2012-07-03,3114.39,3114.39,3114.39,3114.39,23212779
2012-07-04,3107.27,3107.27,3107.27,3107.27,32016951
2012-07-05,3141.88,3141.88,3141.88,3141.88,27848704
2012-07-06,3122.39,3122.39,3122.39,3122.39,22170584
2012-07-09,3078.82,3078.82,3078.82,3078.82,17623113
2012-07-10,3086.33,3086.33,3086.33,3086.33,16257488
2012-07-11,3050.79,3050.79,3050.79,3050.79,31587457
2012-07-12,3038.55,3038.55,3038.55,3038.55,35871573
2012-07-13,3091.47,3091.47,3091.47,3091.47,25741929
2012-07-16,3087.96,3087.96,3087.96,3087.96,12047499
2012-07-17,3090.75,3090.75,3090.75,3090.75,37065082
2012-07-18,3082.19,3082.19,3082.19,3082.19,23455604
2012-07-19,3102.07,3102.07,3102.07,3102.07,26099373
2012-07-20,3064.87,3064.87,3064.87,3064.87,31254734
2012-07-23,2964.07,2964.07,2964.07,2964.07,26050239
2012-07-24,2982.99,2982.99,2982.99,2982.99,21482629
2012-07-25,2988.94,2988.94,2988.94,2988.94,24092794
2012-07-26,2983.27,2983.27,2983.27,2983.27,26136129
2012-07-27,3050.89,3050.89,3050.89,3050.89,28487618
2012-07-30,3090.44,3090.44,3090.44,3090.44,14144790
2012-07-31,3083.37,3083.37,3083.37,3083.37,28333512
2012-08-01,3087.54,3087.54,3087.54,3087.54,19152015
2012-08-02,3062.61,3062.61,3062.61,3062.61,17691222
2012-08-03,3135.53,3135.53,3135.53,3135.53,18014510
2012-08-06,3191.01,3191.01,3191.01,3191.01,18018176
2012-08-07,3197.44,3197.44,3197.44,3197.44,22242939
2012-08-08,3201.39,3201.39,3201.39,3201.39,18212771
2012-08-09,3272.05,3272.05,3272.05,3272.05,34931704
2012-08-10,3263.13,3263.13,3263.13,3263.13,28003903
2012-08-13,3261.37,3261.37,3261.37,3261.37,15388661
2012-08-14,3269.64,3269.64,3269.64,3269.64,29146591
2012-08-16,3306.65,3306.65,3306.65,3306.65,48072745
2012-08-17,3263.97,3263.97,3263.97,3263.97,23027463
2012-08-20,3246.37,3246.37,3246.37,3246.37,24688517
