PERMNO,start,ending,TICKER,EXCHCD,date,enddate,npermno,ric
77281,20060103,20121231,WFMI,3,19920123,20110506,1,WFMI.O
81776,20070531,20111216,WFR,1,19950713,20121231,1,WFR.N
32791,20050722,20090225,WFT,1,19980922,20121231,1,WFT.N
25419,19590401,20121231,WHR,1,19620702,20121231,1,WHR.N
24803,19570301,20041202,WIN,1,19620702,20121231,2,WIN.N
91391,20060718,20121231,WIN,1,20060718,20091210,2,WIN.N
91391,20060718,20121231,WIN,3,20091210,20121231,1,WIN.O
24678,19570301,20000620,WLA,1,19620702,20121231,1,WLA.N
82959,19950818,20020208,WLL,1,19961231,20121231,1,WLL.N
83583,19990609,20041130,WLP,1,19960521,20121231,2,WLP.N
89179,20020725,20121231,WLP,1,20041201,20121231,2,WLP.N
81593,19970702,20080929,WM,1,19981209,20121231,2,WM.N
11955,19980717,20121231,WM,1,20090805,20121231,2,WM.N
38156,19750206,20121231,WMB,1,19671204,20121231,1,WMB.N
11955,19980717,20121231,WMI,1,19980717,20090805,1,WMI.N
55976,19820819,20121231,WMT,1,19721120,20121231,1,WMT.N
83601,19880714,20041217,WOR,1,20000419,20121231,1,WOR.N
78916,19990412,20121231,WPI,1,19970917,20121231,1,WPI.N
53225,20071231,20121231,WPO,1,19900131,20121231,1,WPO.N
25099,20070222,20121231,WPS,1,19620702,20070222,1,WPS.N
13141,20120103,20121231,WPX,1,20120103,20121231,1,WPX.N
91461,20061002,20121231,WU,1,20061002,20121231,1,WU.N
91461,20061002,20121231,WU,31,20060925,20061002,1,WU.N
15472,19570301,20081006,WWY,1,19620702,20121231,1,WWY.N
39917,19631205,20121231,WY,1,19631206,20121231,1,WY.N
15667,19570301,20091015,WYE,1,20020311,20121231,1,WYE.N
91392,20060801,20121231,WYN,1,20060801,20121231,1,WYN.N
89533,20081114,20121231,WYNN,3,20021025,20121231,1,WYNN.O
76644,19910507,20121231,X,1,19910507,20121231,1,X.N
23931,19490706,20121231,XEL,1,20000821,20121231,1,XEL.N
86314,20010904,20121231,XL,1,19980818,20121231,1,XL.N
76201,19991108,20121231,XLNX,3,19900612,20121231,1,XLNX.O
11850,19251231,20121231,XOM,1,19991201,20121231,1,XOM.N
11600,20081114,20121231,XRAY,3,19870812,20121231,1,XRAY.O
27983,19630905,20121231,XRX,1,19620702,20121231,1,XRX.N
79212,20041229,20100625,XTO,1,19930512,20121231,1,XTO.N
13035,20111101,20121231,XYL,1,20111101,20121231,1,XYL.N
83435,19991208,20121231,YHOO,3,19960412,20121231,1,YHOO.O
86041,20000106,20001002,YNR,1,19980512,20121231,1,YNR.N
85348,19971007,20121231,YUM,1,19971007,20121231,1,YUM.N
84129,20010625,20121231,ZION,3,19721214,20121231,1,ZION.O
89070,20010807,20121231,ZMH,1,20010807,20121231,1,ZMH.N
